,id,income,recency,wines,fruits,meat,fish,sweets,gold,customers_engagement,age,kids,total_amount_spent,marital_status,education
0,5524,58138.0,58,635,88,546,172,88,88,2,57,0,1617,Single,PG
1,2174,46344.0,38,11,1,6,2,1,6,0,60,2,27,Single,PG
2,4141,71613.0,26,426,49,127,111,21,42,1,49,0,776,In relationship,PG
3,6182,26646.0,26,11,4,20,10,3,5,0,30,1,53,In relationship,PG
4,5324,58293.0,94,173,43,118,46,27,15,0,33,1,422,In relationship,PG
5,7446,62513.0,16,520,42,98,0,42,14,1,47,1,716,In relationship,PG
6,965,55635.0,34,235,65,164,50,49,27,2,43,1,590,Single,PG
7,6177,33454.0,32,76,10,56,3,1,23,1,29,1,169,In relationship,PG
8,4855,30351.0,19,14,0,24,3,3,2,1,40,1,46,In relationship,PG
9,5899,5648.0,68,28,0,6,1,1,13,0,64,2,49,In relationship,PG
11,387,7500.0,59,6,16,11,11,1,16,2,38,0,61,In relationship,UG
12,2125,63033.0,82,194,61,480,225,112,30,1,55,0,1102,Single,PG
13,8180,59354.0,53,233,2,53,3,5,14,1,62,2,310,Single,PG
14,2569,17323.0,38,3,14,17,6,1,5,2,27,0,46,In relationship,PG
15,2114,82800.0,23,1006,22,115,59,68,45,2,68,0,1315,Single,PG
16,9736,41850.0,51,53,5,19,2,13,4,2,34,2,96,In relationship,PG
17,4939,37760.0,20,84,5,38,150,12,28,2,68,0,317,In relationship,PG
18,6565,76995.0,91,1012,80,498,0,16,176,1,65,1,1782,In relationship,PG
19,2278,33812.0,86,4,17,19,30,24,39,2,29,1,133,Single,PG
20,9360,37040.0,41,86,2,73,69,38,48,2,32,0,316,In relationship,PG
21,5376,2447.0,42,1,1,1725,1,1,1,1,35,1,1730,In relationship,PG
22,1993,58607.0,63,867,0,86,0,0,19,2,65,1,972,In relationship,PG
23,4047,65324.0,0,384,0,102,21,32,5,0,60,1,544,In relationship,PG
24,1409,40689.0,69,270,3,27,39,6,99,1,63,1,444,In relationship,PG
25,7892,18589.0,89,6,4,25,15,12,13,1,45,0,75,Single,PG
26,2404,53359.0,4,173,4,30,3,6,41,1,38,2,257,In relationship,PG
28,9422,38360.0,26,36,2,42,20,21,10,1,25,1,131,In relationship,PG
29,1966,84618.0,96,684,100,801,21,66,0,1,49,0,1672,In relationship,PG
30,6864,10979.0,34,8,4,10,2,2,4,0,25,0,30,Single,PG
31,3033,38620.0,56,112,17,44,34,22,89,1,51,0,318,In relationship,PG
32,5710,40548.0,31,110,0,5,2,0,3,2,44,1,120,In relationship,PG
33,7373,46610.0,8,96,12,96,33,22,43,2,62,2,302,Single,PG
34,8755,68657.0,4,482,34,471,119,68,22,1,68,0,1196,In relationship,PG
35,10738,49389.0,55,40,0,19,2,1,3,1,63,2,65,Single,PG
36,4339,67353.0,37,702,17,151,0,8,35,1,44,1,913,In relationship,PG
37,10755,23718.0,76,6,3,14,15,7,36,1,38,1,81,In relationship,PG
38,8595,42429.0,99,55,0,6,2,0,4,0,41,1,67,Single,PG
39,2968,48948.0,53,437,8,206,160,49,42,1,71,0,902,Single,PG
40,8601,80011.0,3,421,76,536,82,178,102,1,34,1,1395,In relationship,PG
41,503,20559.0,88,13,1,29,3,0,7,1,29,1,53,In relationship,PG
42,8430,21994.0,4,9,0,6,3,1,3,2,57,1,22,In relationship,PG
