,cleaned_tweet
0,    Who wey him dey message?  Na the 23years of APCPDP wey we dey pay foreign exchange to Ghana schools?  Make him message him self say   Is for the  boy we dey beg am money now.  PeterObi4President2023  ObiDatti023
1,"Gov. Men like   ,   ,   ,   ,   and    problems are;  Why will   try to come remove gov.Chops now? Now wey be say we don serve 'gov. chops men', come reach baba 'wey no well' wey we go chop well well?  ObiDatti023"
2,"This is what happens when old men refuse to retire ,vote them out,vote in  ObiDatti023  "
3,   ObiDatti023
4,"  We are talking about important things,all someone could notice is the background and curtain design God abeg ooo  ObiDatti023"
5,Wonderful  ObiDatti023  
6,If they don't say is the guy that a lie.....cause is the guy  LabourParty  ObiDatti023  OBIdientlyYusful  LekkiMassacre  fallenbrothers  EndSARS  
7,"  and     book launch yesterday, we are taken over.  Obidients  OBIdientlyYusful  ObiDatti023  "
8,"  This and more was promised during 2015 election by APC now look at this list very well, DID THEY ACHIEVE ANY OF ABOVE? so Nigerians RONU OO Vote  ObiDatti023 of LP  "
9,"You're welcome to the  OBIDIENT family for  ,   ObiDatti023  OBIdientlyYusful   PeterObi4President2023  "
10,Why is it that it is only when a foreign country prosecutes a politician that EFCC will rise and then know there are proprties scattered over for forfeiture! Thrm no know 9 in Dubai before abi! Vote wisely! Be  OBIdient and you will marvel at what will be unearthed!  ObiDatti023
11,I know God works in mysterious ways.I pray God will works mysteriously on my bank account. Shege per secs is too much😟😕...   GodMorningSaturday  ObiDatti023  OBIdientlyYusful  AsuuStrikeUpdates  WomanKing  EnolaHolmes2  NigeriaDecides2023  
12,"Well Nigeria wasn't loosing 400,000 barrels daily to oil thieves under   however, that doesn't make PDP saints though, apparently their ""Thievery"" dey learn work for wer   corruption start.  Nigerians are saying NO 2D 2thieves.  ObiDatti023 all D way!  "
13,"  Well Nigeria wasn't loosing 400,000 barrels daily to oil thieves under   however, that doesn't make PDP saints though, apparently their ""Thievery"" dey learn work for wer   corruption start.  Nigerians are saying NO 2D 2thieves.  ObiDatti023 all D way!"
14,"Apart from giving him massive support can we please advise him to take precautionary measures on his trips and provide him security aides?  Hear me Peter Obi, we will not take it kindly if we hear that anything is wrong with you.   ObiDatti023  OBIDIENT"
15,     2023 is not  2015   We ready for una    OBIdientlyYusful   Obidients   ObiDatti023
16,"  Well, u are paid to do ur job! Do it well.. Be ready to jump ship soon!  ObiDatti023"
